throughput,p95_ttft,p95_tbt,lambda,workload
0.49599803155038014,0.05898982144203718,0.03999999999996362,0.5,short
0.9919285895517972,0.06838379306362867,0.03999999999996362,1.0,short
1.9838796690117306,0.0743451963433216,0.07999999999992724,2.0,short
2.9757534862389385,0.07548914349542314,0.07999999999992724,3.0,short
3.9650138865617772,0.07728071073972842,0.08000000000004093,4.0,short
5.9511673400754965,0.07841683701168449,0.08960000000001855,6.0,short
7.929500536605647,0.07947264933619635,0.12000000000006139,8.0,short
9.920474975979788,0.08167460604721981,0.12750000000004888,10.0,short
14.856987509303849,0.08556653778350665,0.18009999999999593,15.0,short
19.804043388470376,0.09319920060968911,0.26880000000001303,20.0,short
24.667005375363498,0.10554384807944783,0.33919999999999106,25.0,short
29.5589898686215,0.1146499527232109,0.4268999999999963,30.0,short
34.41611234333169,0.13075706822268593,0.6351999999999975,35.0,short
39.113540101140785,0.14687898523723408,0.8908999999999807,40.0,short
43.87185103757095,0.1894191177437214,1.3877999999999417,45.0,short
30.303077857962265,0.2797809763022006,3.2874000000002326,50.0,short
14.596983973849609,0.3571616693132341,6.710400000000277,55.0,short
